"","restaurant.type","rate..out.of.5.","num.of.ratings","avg.cost..two.people.","online_order","table.booking","cuisines.type","area","high_score","good_bad_average"
"106","Bakery",4,-0.0443143141181131,-0.628947640613988,"No","No","Desserts, Bakery","Bannerghatta Road",1,"3"
"107","Bakery",2.8,-0.252772387217782,-0.412879560323142,"No","No","Bakery, Desserts","Frazer Town",0,"1"
"108","Bakery",3.1,-0.30320579199996,-0.520913600468565,"No","No","Bakery, Fast Food","Electronic City",0,"1"
"109","Bakery",3.4,-0.286394657072567,-0.520913600468565,"Yes","No","Bakery, Desserts","Brookefield",0,"2"
"110","Bakery",3.5,-0.289756884058045,-0.304845520177719,"Yes","No","Bakery, Desserts","HSR",0,"2"
"111","Bakery",3.6,-0.288075770565306,-0.520913600468565,"No","No","Bakery, Desserts","Koramangala 4th Block",1,"2"
"112","Bakery",3.9,-0.0981099458857695,-0.628947640613988,"No","No","Bakery, Fast Food","Malleshwaram",1,"3"
"113","Bakery",3.8,-0.252772387217782,-0.736981680759411,"No","No","Bakery","Frazer Town",1,"3"
"114","Bakery",3.5,-0.284713543579828,-0.736981680759411,"No","No","Bakery","Brigade Road",0,"2"
"115","Bakery",3.3,-0.257815727695999,0.127290640403972,"Yes","No","Bakery, Desserts","Electronic City",0,"1"
"117","Bakery",3.4,-0.296481338029003,-0.736981680759411,"No","No","Bakery","Brigade Road",0,"2"
"118","Bakery",3.6,-0.306568018985438,0.127290640403972,"No","No","Bakery, Desserts, Beverages","Kalyan Nagar",1,"2"
"119","Bakery",3.7,-0.205701209421082,-0.520913600468565,"Yes","No","Bakery, Desserts","Kammanahalli",1,"2"
"120","Bakery",4.8,1.62335027067924,-0.736981680759411,"No","No","Bakery, Desserts","Malleshwaram",1,"3"
"121","Bakery",3.7,-0.167035599088079,-0.412879560323142,"Yes","No","Bakery, Desserts","Byresandra,Tavarekere,Madiwala",1,"2"
"122","Bakery",3.5,-0.311611359463656,-0.520913600468565,"No","No","Bakery, European","Indiranagar",0,"2"
"123","Bakery",3.3,-0.313292472956395,-0.304845520177719,"No","No","Bakery","Byresandra,Tavarekere,Madiwala",0,"1"
"124","Bakery",2.8,-0.252772387217782,-0.0887774398868734,"Yes","No","Bakery, Desserts","Basavanagudi",0,"1"
"125","Bakery",3.2,-0.313292472956395,-0.845015720904834,"No","No","Bakery","Basavanagudi",0,"1"
"126","Bakery",2.8,-0.252772387217782,-0.736981680759411,"Yes","No","Bakery, Fast Food","Indiranagar",0,"1"
"127","Bakery",3.2,-0.30152467850722,-0.304845520177719,"Yes","No","Bakery","HSR",0,"1"
"128","Bakery",3.8,-0.249410160232303,-0.304845520177719,"Yes","No","Bakery, Desserts","Old Airport Road",1,"3"
"129","Bakery",3.5,-0.308249132478177,-0.520913600468565,"No","No","Bakery","Frazer Town",0,"2"
"130","Bakery",3.2,-0.309930245970917,-0.628947640613988,"Yes","No","Bakery","Brookefield",0,"1"
"131","Bakery",4.2,0.523902046427758,-0.845015720904834,"No","No","Bakery","Basavanagudi",1,"3"
"132","Bakery",3.6,-0.267902408652435,-0.628947640613988,"No","No","Bakery, Fast Food","Byresandra,Tavarekere,Madiwala",1,"2"
"133","Bakery",3.4,-0.309930245970917,-0.0887774398868734,"No","No","Bakery","Byresandra,Tavarekere,Madiwala",0,"2"
"134","Bakery",2.8,-0.252772387217782,-0.520913600468565,"No","No","Bakery","Koramangala 4th Block",0,"1"
"135","Bakery",3.2,-0.288075770565306,-0.520913600468565,"No","No","Bakery, Fast Food, Desserts","Brookefield",0,"1"
"136","Bakery",3.9,-0.249410160232303,-0.412879560323142,"Yes","No","Bakery, Desserts","Kalyan Nagar",1,"3"
"137","Bakery",3.7,-0.288075770565306,-0.304845520177719,"No","No","Bakery","Bellandur",1,"2"
"138","Bakery",3.1,-0.306568018985438,-0.304845520177719,"No","No","Bakery, Desserts","HSR",0,"1"
"139","Bakery",3.7,-0.281351316594349,-0.628947640613988,"No","No","Bakery","Brigade Road",1,"2"
"140","Bakery",3.9,-0.239323479275868,-0.736981680759411,"No","No","Bakery, Desserts","Basavanagudi",1,"3"
"141","Bakery",3.2,-0.311611359463656,-0.845015720904834,"Yes","No","Bakery","Brookefield",0,"1"
"142","Bakery",4,-0.0157353847415457,-0.0887774398868734,"Yes","No","Bakery, Desserts","Whitefield",1,"3"
"143","Bakery",3.1,-0.274626862623392,-0.304845520177719,"Yes","No","Desserts, Bakery","Kalyan Nagar",0,"1"
"144","Bakery",2.9,-0.259496841188739,0.127290640403972,"Yes","No","Bakery, Fast Food, Pizza, Burger, Cafe","Kalyan Nagar",0,"1"
"145","Bakery",2.8,-0.252772387217782,-0.520913600468565,"No","No","Bakery","Banashankari",0,"1"
"146","Bakery",3.5,-0.30152467850722,-0.520913600468565,"No","No","Bakery","Bannerghatta Road",0,"2"
"147","Bakery",2.8,-0.252772387217782,-0.520913600468565,"No","No","Bakery, Fast Food","Jayanagar",0,"1"
"148","Bakery",3.4,-0.299843565014481,-0.0887774398868734,"Yes","No","Bakery, Desserts","Brookefield",0,"2"
"149","Bakery",3.6,-0.267902408652435,-0.736981680759411,"No","No","Bakery, Desserts","Bellandur",1,"2"
"150","Bakery",3.8,-0.251091273725042,-0.304845520177719,"No","No","Bakery","Frazer Town",1,"3"
"151","Bakery",3.8,-0.251091273725042,-0.0887774398868734,"No","No","Bakery","Frazer Town",1,"3"
"152","Bakery",3.3,-0.311611359463656,-0.412879560323142,"No","No","Bakery","Brigade Road",0,"1"
"153","Bakery",3.4,-0.30320579199996,-0.0887774398868734,"Yes","No","Bakery, Desserts, Fast Food","Kalyan Nagar",0,"2"
"154","Bakery",4,-0.172078939566297,-0.0887774398868734,"Yes","No","Bakery, Desserts","Bannerghatta Road",1,"3"
"155","Bakery, Beverage Shop",3.2,-0.313292472956395,-0.628947640613988,"Yes","No","Bakery, Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",0,"1"
"156","Bakery, Cafe",4.1,0.103623673242942,-0.412879560323142,"Yes","No","Bakery, Cafe","Frazer Town",1,"3"
"157","Bakery, Cafe",4.3,0.555843202789803,1.85583528273074,"No","No","Salad, Bakery, Cafe, Sandwich, Italian, Burger","Brigade Road",1,"3"
"158","Bakery, Cafe",3.5,-0.30152467850722,-0.304845520177719,"Yes","No","Bakery, Cafe, Desserts","Malleshwaram",0,"2"
"159","Bakery, Cafe",3.8,-0.219150117362996,-0.196811480032296,"Yes","No","Bakery, Cafe, Burger, Fast Food","Marathahalli",1,"3"
"160","Bakery, Cafe",2.9,-0.239323479275868,-0.0887774398868734,"Yes","No","Bakery, Cafe","Indiranagar",0,"1"
"161","Bakery, Cafe",4.2,1.01478718630762,0.127290640403972,"Yes","Yes","Bakery, Cafe, Italian, Desserts","Brookefield",1,"3"
"162","Bakery, Cafe",3.9,-0.224193457841214,-0.304845520177719,"No","No","Bakery, Cafe","Brookefield",1,"3"
"163","Bakery, Dessert Parlor",4,-0.195614528464647,-0.304845520177719,"No","No","Bakery, Desserts","Indiranagar",1,"3"
"164","Bakery, Dessert Parlor",3.9,-0.193933414971907,-0.0887774398868734,"Yes","No","Bakery, Desserts","Bellandur",1,"3"
"165","Bakery, Dessert Parlor",4.1,-0.0174164982342849,-0.520913600468565,"Yes","No","Bakery, Desserts","Brookefield",1,"3"
"166","Bakery, Dessert Parlor",3.8,-0.173760053059036,-0.304845520177719,"Yes","No","Bakery, Desserts","Malleshwaram",1,"3"
"167","Bakery, Dessert Parlor",3,-0.306568018985438,-0.953049761050257,"No","No","Bakery, Desserts, Beverages","Rajajinagar",0,"1"
"168","Bakery, Dessert Parlor",3.1,-0.30152467850722,-0.520913600468565,"Yes","No","Bakery, Desserts","Byresandra,Tavarekere,Madiwala",0,"1"
"169","Bakery, Dessert Parlor",3.8,-0.242685706261346,-0.736981680759411,"No","No","Bakery, Desserts","Rajajinagar",1,"3"
"170","Bakery, Dessert Parlor",3.4,-0.30320579199996,-0.304845520177719,"No","No","Bakery, Desserts, Fast Food","Kalyan Nagar",0,"2"
"171","Bakery, Dessert Parlor",3.2,-0.264540181666957,0.127290640403972,"No","No","Bakery, Desserts","Malleshwaram",0,"1"
"172","Bakery, Dessert Parlor",3,-0.267902408652435,-0.845015720904834,"No","No","Desserts","Brigade Road",0,"1"
"173","Bakery, Dessert Parlor",3.5,-0.30152467850722,-0.628947640613988,"No","No","Bakery","JP Nagar",0,"2"
"174","Bakery, Dessert Parlor",3.9,-0.0964288323930303,-0.0887774398868734,"No","No","Bakery, Desserts","Malleshwaram",1,"3"
"175","Bakery, Dessert Parlor",3.9,-0.0190976117270242,-0.520913600468565,"Yes","No","Bakery, Desserts","Sarjapur Road",1,"3"
"176","Bakery, Dessert Parlor",3.9,-0.262859068174217,-0.736981680759411,"Yes","No","Desserts, Bakery","HSR",1,"3"
"177","Bakery, Dessert Parlor",3.7,-0.286394657072567,0.127290640403972,"No","No","Bakery, Desserts","Indiranagar",1,"2"
"178","Bakery, Quick Bites",4,-0.235961252290389,-0.628947640613988,"Yes","No","Bakery, Fast Food","Kalyan Nagar",1,"3"
"179","Bakery, Quick Bites",2.7,-0.271264635637914,-0.414703511650273,"No","No","Bakery, Fast Food, Italian","Old Airport Road",0,"1"
"180","Bakery, Quick Bites",3.7,-0.104834399856727,0.127290640403972,"No","No","Bakery, Fast Food, Italian","Bellandur",1,"2"
"181","Bakery, Quick Bites",3.2,-0.289756884058045,-0.520913600468565,"Yes","No","Bakery, Desserts, Fast Food","Bannerghatta Road",0,"1"
"182","Bakery, Quick Bites",2.8,-0.252772387217782,0.127290640403972,"No","No","Bakery, Fast Food, Beverages","Electronic City",0,"1"
"183","Bakery, Quick Bites",3.6,-0.232599025304911,-0.520913600468565,"No","No","Bakery, Fast Food","Brigade Road",1,"2"
"184","Bakery, Quick Bites",3.7,-0.281351316594349,-0.520913600468565,"Yes","No","Bakery, Fast Food","Bellandur",1,"2"
"185","Bakery, Quick Bites",3.7,-0.296481338029003,-0.520913600468565,"No","No","Bakery, Fast Food","Brigade Road",1,"2"
"186","Bakery, Quick Bites",2.4,-0.266221295159696,-0.0887774398868734,"No","No","Bakery, Fast Food","HSR",0,"1"
"187","Bakery, Quick Bites",3.9,-0.251091273725042,-0.736981680759411,"No","No","Bakery, Street Food","Byresandra,Tavarekere,Madiwala",1,"3"
"188","Bakery, Quick Bites",3.5,-0.237642365783128,-0.736981680759411,"No","No","Bakery, Fast Food","HSR",0,"2"
"189","Bakery, Quick Bites",3.8,-0.261177954681478,-0.414703511650273,"No","No","Bakery, Fast Food","Rajajinagar",1,"3"
"190","Bakery, Quick Bites",3.7,-0.230917911812171,-0.412879560323142,"No","No","Bakery, Fast Food, Desserts","Kalyan Nagar",1,"2"
"191","Bakery, Quick Bites",3.7,-0.289756884058045,-0.304845520177719,"Yes","No","Bakery, Fast Food","JP Nagar",1,"2"
"192","Bakery, Quick Bites",4.1,0.0346980200406322,-0.736981680759411,"No","No","Bakery, Fast Food","Brigade Road",1,"3"
"193","Bakery, Quick Bites",2.8,-0.252772387217782,-0.304845520177719,"No","No","Bakery, Fast Food","Brigade Road",0,"1"
"194","Bakery, Quick Bites",2.9,-0.274626862623392,-0.304845520177719,"No","No","Bakery","Byresandra,Tavarekere,Madiwala",0,"1"
"195","Bakery, Quick Bites",3.3,-0.308249132478177,0.0192566002585495,"Yes","No","Desserts, Bakery","Basavanagudi",0,"1"
"196","Bakery, Quick Bites",3.3,-0.304886905492699,-0.520913600468565,"No","No","Bakery, Fast Food","Electronic City",0,"1"
"197","Bakery, Quick Bites",3.6,-0.293119111043524,-0.845015720904834,"No","No","Bakery, Street Food","Banashankari",1,"2"
"198","Bar",4.2,0.0313357930551537,3.15224376447581,"No","Yes","European, Asian","Koramangala 4th Block",1,"3"
"199","Bar",3.9,0.315443973328089,0.991562961567356,"No","No","North Indian, Chinese, Fast Food","Brigade Road",1,"3"
"200","Bar",3.8,-0.0359087466544168,1.63976720243989,"No","Yes","South Indian, North Indian","Byresandra,Tavarekere,Madiwala",1,"3"
"201","Bar",3.6,-0.125007761769598,1.42369912214905,"No","Yes","Continental, American, South Indian, Italian, North Indian, Chinese","Electronic City",1,"2"
"202","Bar",4.2,4.0323859057746,1.42369912214905,"Yes","Yes","Continental, Finger Food, North Indian, Chinese","Koramangala 7th Block",1,"3"
"203","Bar",3,-0.308249132478177,0.991562961567356,"No","No","Finger Food","Electronic City",0,"1"
"204","Bar",3.4,-0.30320579199996,2.72010760389412,"No","No","North Indian, South Indian, Continental","Rajajinagar",0,"2"
"205","Bar",4,0.31376285983535,1.63976720243989,"No","Yes","Continental, North Indian, Italian","Kalyan Nagar",1,"3"
"206","Bar",2.8,-0.252772387217782,0.559426800985664,"No","No","Continental, Chinese","HSR",0,"1"
"207","Bar",3,-0.267902408652435,0.343358720694818,"No","No","North Indian, Finger Food, Chinese","Kalyan Nagar",0,"1"
"208","Bar",3.3,-0.309930245970917,0.991562961567356,"No","No","Finger Food","Electronic City",0,"1"
"209","Bar",4.2,-0.25613461420326,3.15224376447581,"No","No","Finger Food, Mediterranean, North Indian","Brigade Road",1,"3"
"210","Bar",3.3,-0.215787890377518,0.559426800985664,"No","No","South Indian, North Indian, Chinese","Banashankari",0,"1"
"211","Bar",3.4,-0.30152467850722,0.559426800985664,"Yes","No","North Indian, Seafood, Chinese","Banashankari",0,"2"
"212","Bar",3.9,-0.239323479275868,0.77549488127651,"No","No","Finger Food, South Indian, Continental","Indiranagar",1,"3"
"213","Bar",3.9,2.64378616077197,1.63976720243989,"No","Yes","Finger Food, North Indian, Chinese","Bannerghatta Road",1,"3"
"214","Bar",3.8,-0.230917911812171,1.85583528273074,"No","Yes","Continental, North Indian, Chinese, Lebanese","Marathahalli",1,"3"
"215","Bar",3.3,-0.313292472956395,0.991562961567356,"No","No","Chinese, North Indian","Brigade Road",0,"1"
"216","Bar",3.3,-0.313292472956395,0.77549488127651,"No","No","Chinese, North Indian","Lavelle Road",0,"1"
"217","Bar",3.8,-0.271264635637914,0.559426800985664,"No","No","North Indian, Chinese","Koramangala 4th Block",1,"3"
"218","Bar",3.9,-0.209063436406561,2.07190336302159,"No","No","North Indian, Chinese","Byresandra,Tavarekere,Madiwala",1,"3"
"219","Bar",4,-0.0426332006253739,1.2076310418582,"No","Yes","Finger Food","Byresandra,Tavarekere,Madiwala",1,"3"
"220","Bar",3.7,-0.252772387217782,1.42369912214905,"No","No","North Indian, South Indian, Chinese, Continental","Kalyan Nagar",1,"2"
"221","Bar",3.3,-0.288075770565306,0.127290640403972,"No","No","North Indian, Continental","Byresandra,Tavarekere,Madiwala",0,"1"
"222","Bar",4.1,-0.0459954276108524,1.42369912214905,"No","No","Finger Food","Electronic City",1,"3"
"223","Bar",3.8,-0.262859068174217,0.991562961567356,"No","No","South Indian, Andhra","Koramangala 6th Block",1,"3"
"224","Bar",3.4,-0.309930245970917,0.343358720694818,"No","No","South Indian, North Indian","Brigade Road",0,"2"
"225","Bar",3.5,-0.271264635637914,3.58437992505751,"No","No","Finger Food, Fast Food, Continental","Brigade Road",0,"2"
"226","Bar",4.7,5.68660158263003,0.991562961567356,"No","Yes","Continental, Asian, North Indian","HSR",1,"3"
"227","Bar",3.8,-0.138456669711512,1.85583528273074,"No","Yes","North Indian, Chinese","Brigade Road",1,"3"
"228","Bar",4.1,-0.0897043784220732,1.42369912214905,"Yes","Yes","Continental, North Indian, Finger Food","Whitefield",1,"3"
"229","Bar",3.5,-0.296481338029003,0.559426800985664,"No","No","North Indian, Chinese, Finger Food","Brigade Road",0,"2"
"230","Bar",3.7,-0.247729046739564,4.88078840680258,"No","Yes","Finger Food, North Indian","Brigade Road",1,"2"
"231","Bar",3.9,0.0968992192719849,1.42369912214905,"No","No","Finger Food, Italian, Continental","Kammanahalli",1,"3"
"232","Bar",4,0.38100739954492,0.991562961567356,"No","No","Finger Food","Old Airport Road",1,"3"
"233","Bar",3.8,-0.27967020310161,1.42369912214905,"No","No","Finger Food","Brookefield",1,"3"
